Date;Open;High;Low;Close;Volume;
2007-01-02;751.04;751.04;741.27;741.27;6.35K;
2007-01-03;745.13;757.71;745.13;757.71;5.93K;
2007-01-04;784.45;788.82;784.45;788.82;10.80K;
2007-01-05;818.04;818.04;816.51;816.51;11.08K;
2007-01-08;840.22;840.22;825.11;825.11;11.61K;
2007-01-09;845.26;845.26;840.89;844.91;11.76K;
2007-01-10;864.75;866.72;864.75;865.71;9.06K;
2007-01-11;886.83;886.83;885.43;885.43;12.05K;
2007-01-12;914.41;914.79;913.68;914.79;12.07K;
2007-01-15;941.73;947.15;941.73;947.15;12.41K;
2007-01-16;985.53;985.53;983.50;983.60;9.36K;
2007-01-17;1,012.70;1,012.70;964.96;964.96;13.29K;
2007-01-18;946.84;983.09;946.84;983.09;15.23K;
2007-01-19;1,024.00;1,024.00;1,022.97;1,023.05;9.72K;
2007-01-22;1,044.26;1,044.26;1,027.70;1,027.70;14.46K;
2007-01-23;1,040.06;1,040.70;1,039.61;1,040.70;9.31K;
2007-01-24;1,049.82;1,049.82;1,016.39;1,016.39;11.76K;
2007-01-25;991.65;991.65;988.86;988.86;14.37K;
2007-01-26;966.60;974.76;966.60;974.76;14.24K;
2007-01-29;976.51;995.55;976.51;995.55;10.63K;
2007-01-30;1,021.29;1,023.97;1,021.29;1,022.40;9.91K;
2007-01-31;1,044.07;1,044.07;1,041.33;1,041.33;10.42K;
2007-02-01;1,066.33;1,066.33;1,049.32;1,049.32;14.95K;
2007-02-02;1,074.55;1,074.55;1,074.55;1,074.55;8.62K;
2007-02-05;1,091.02;1,091.02;1,058.71;1,058.71;15.67K;
2007-02-06;1,058.57;1,091.38;1,058.57;1,091.38;10.48K;
2007-02-07;1,084.33;1,095.75;1,083.99;1,095.75;9.57K;
2007-02-08;1,058.74;1,058.74;1,052.86;1,052.86;10.29K;
2007-02-09;1,010.97;1,030.90;1,010.38;1,030.90;9.99K;
2007-02-12;1,041.43;1,054.26;1,041.43;1,054.26;12.23K;
2007-02-13;1,081.79;1,081.79;1,074.06;1,074.46;8.32K;
2007-02-14;1,077.98;1,077.98;1,073.19;1,073.19;12.01K;
2007-02-15;1,071.50;1,083.25;1,071.50;1,083.25;6.85K;
2007-02-26;1,121.18;1,129.02;1,121.18;1,129.02;10.22K;
2007-02-27;1,174.10;1,174.10;1,167.36;1,167.36;10.25K;
2007-02-28;1,159.67;1,159.67;1,135.85;1,137.69;15.50K;
2007-03-01;1,147.51;1,147.51;1,123.07;1,123.07;10.62K;
2007-03-02;1,130.62;1,147.66;1,130.62;1,147.66;19.25K;
2007-03-05;1,165.05;1,165.05;1,158.90;1,158.90;10.53K;
2007-03-06;1,139.76;1,139.76;1,132.95;1,133.31;10.26K;
2007-03-07;1,139.30;1,139.30;1,132.23;1,132.23;10.98K;
2007-03-08;1,140.48;1,141.59;1,138.67;1,141.59;10.73K;
2007-03-09;1,168.67;1,168.67;1,155.68;1,155.68;13.22K;
2007-03-12;1,179.32;1,179.32;1,170.67;1,170.67;17.53K;
2007-03-13;1,178.67;1,178.67;1,154.12;1,158.27;16.75K;
2007-03-14;1,135.21;1,135.21;1,114.21;1,114.21;15.94K;
2007-03-15;1,072.79;1,072.79;1,065.52;1,065.52;11.64K;
2007-03-16;1,089.24;1,109.76;1,089.24;1,109.76;12.85K;
2007-03-19;1,152.06;1,152.06;1,133.34;1,133.34;16.38K;
2007-03-20;1,133.77;1,133.77;1,117.25;1,117.25;12.20K;
2007-03-21;1,116.79;1,116.79;1,111.63;1,111.63;12.97K;
2007-03-22;1,107.86;1,107.86;1,099.82;1,099.82;12.17K;
2007-03-23;1,096.95;1,096.95;1,090.56;1,090.56;8.27K;
2007-03-26;1,085.46;1,085.46;1,070.73;1,072.16;9.97K;
2007-03-27;1,050.27;1,050.27;1,034.24;1,034.24;7.30K;
2007-03-28;999.35;1,031.79;999.35;1,031.79;9.31K;
2007-03-29;1,050.17;1,068.71;1,050.17;1,068.71;10.18K;
2007-03-30;1,091.23;1,091.23;1,071.33;1,071.33;12.10K;
2007-04-02;1,059.18;1,061.75;1,055.10;1,055.10;7.76K;
2007-04-03;1,030.92;1,030.92;1,027.43;1,027.53;6.94K;
2007-04-04;1,030.69;1,050.90;1,030.69;1,050.90;9.13K;
2007-04-05;1,058.53;1,058.53;1,048.98;1,048.98;8.46K;
2007-04-06;1,033.77;1,033.92;1,032.64;1,033.92;7.97K;
2007-04-09;1,041.29;1,041.36;1,039.98;1,041.36;6.02K;
2007-04-10;1,044.90;1,044.90;1,039.67;1,039.67;6.14K;
2007-04-11;1,037.16;1,037.25;1,034.68;1,034.68;4.26K;
2007-04-12;1,031.21;1,031.21;1,027.58;1,027.58;4.63K;
2007-04-13;1,026.40;1,026.40;1,012.98;1,012.98;6.69K;
2007-04-16;998.14;998.14;983.00;983.00;5.51K;
2007-04-17;968.96;968.96;965.72;965.72;6.68K;
2007-04-18;979.86;1,001.12;979.86;1,001.12;4.31K;
2007-04-19;1,015.10;1,015.10;998.09;998.09;8.99K;
2007-04-20;981.95;981.95;968.88;968.88;5.09K;
2007-04-23;940.58;940.58;931.18;931.18;5.75K;
2007-04-24;907.47;907.65;905.53;905.53;6.03K;
2007-04-25;903.94;923.89;903.94;923.89;8.36K;
2007-05-02;933.30;935.48;933.30;935.48;7.69K;
2007-05-03;939.02;941.03;937.46;937.46;5.41K;
2007-05-04;941.14;947.19;941.14;947.19;4.47K;
2007-05-07;969.48;983.62;969.48;983.62;5.75K;
2007-05-08;1,017.24;1,017.24;1,015.43;1,015.43;9.93K;
2007-05-09;1,029.66;1,029.66;1,019.96;1,019.96;8.32K;
2007-05-10;1,026.46;1,026.46;1,020.04;1,020.04;7.99K;
2007-05-11;1,022.35;1,039.63;1,022.35;1,039.63;9.65K;
2007-05-14;1,061.89;1,066.04;1,060.51;1,066.04;6.61K;
2007-05-15;1,069.15;1,069.15;1,054.69;1,054.69;8.50K;
2007-05-16;1,051.62;1,051.62;1,040.99;1,040.99;8.76K;
2007-05-17;1,039.27;1,059.79;1,039.27;1,059.79;11.25K;
2007-05-18;1,063.33;1,066.56;1,063.33;1,066.56;6.51K;
2007-05-21;1,077.62;1,085.41;1,077.62;1,085.41;7.91K;
2007-05-22;1,102.70;1,107.52;1,102.70;1,107.52;11.78K;
2007-05-23;1,127.75;1,127.75;1,113.19;1,113.19;10.85K;
2007-05-24;1,101.79;1,101.79;1,085.30;1,085.30;8.45K;
2007-05-25;1,073.52;1,089.60;1,073.52;1,089.60;9.14K;
2007-05-28;1,113.24;1,113.24;1,098.64;1,098.64;7.18K;
2007-05-29;1,102.82;1,102.82;1,093.77;1,093.77;7.10K;
2007-05-30;1,080.96;1,080.96;1,075.55;1,077.88;5.33K;
2007-05-31;1,087.55;1,087.55;1,081.48;1,081.48;6.02K;
2007-06-01;1,085.93;1,085.93;1,077.36;1,077.36;5.59K;
2007-06-04;1,074.18;1,074.18;1,062.10;1,062.10;7.58K;
2007-06-05;1,051.68;1,051.68;1,039.66;1,039.66;8.16K;
2007-06-06;1,040.45;1,045.29;1,038.90;1,045.29;7.05K;
2007-06-07;1,057.54;1,060.56;1,057.54;1,060.02;12.74K;
2007-06-08;1,067.13;1,067.13;1,054.78;1,057.36;8.58K;
2007-06-11;1,042.09;1,042.09;1,037.29;1,040.75;7.11K;
2007-06-12;1,034.88;1,036.54;1,034.88;1,036.54;10.78K;
2007-06-13;1,035.97;1,038.80;1,033.71;1,038.80;9.08K;
2007-06-14;1,044.02;1,044.02;1,041.68;1,042.79;7.81K;
2007-06-15;1,050.63;1,050.63;1,048.19;1,048.19;5.69K;
2007-06-18;1,046.42;1,046.62;1,043.99;1,043.99;10.58K;
2007-06-19;1,047.95;1,049.87;1,047.95;1,049.58;8.66K;
2007-06-20;1,050.88;1,050.88;1,045.28;1,045.28;7.22K;
2007-06-21;1,043.96;1,043.96;1,034.43;1,034.43;5.69K;
2007-06-22;1,031.26;1,037.45;1,031.26;1,033.69;6.79K;
2007-06-25;1,047.97;1,047.97;1,044.39;1,044.39;7.44K;
2007-06-26;1,064.15;1,064.15;1,054.38;1,055.70;7.49K;
2007-06-27;1,057.08;1,057.08;1,032.96;1,032.96;9.29K;
2007-06-28;1,024.30;1,024.62;1,024.04;1,024.04;8.67K;
2007-06-29;1,020.64;1,024.68;1,020.64;1,024.68;7.83K;
2007-07-02;1,015.71;1,015.71;994.17;994.17;7.62K;
2007-07-03;976.11;977.30;975.40;977.30;7.18K;
2007-07-04;996.14;1,013.56;996.14;1,013.56;6.86K;
2007-07-05;1,013.95;1,013.95;1,012.58;1,012.82;8.65K;
2007-07-06;1,008.36;1,010.53;1,005.95;1,010.53;5.98K;
2007-07-09;1,004.39;1,010.27;1,004.39;1,010.27;7.12K;
2007-07-10;1,015.15;1,023.04;1,015.15;1,023.04;5.51K;
2007-07-11;1,032.43;1,032.71;1,029.85;1,029.85;5.73K;
2007-07-12;1,025.72;1,025.72;1,017.68;1,017.68;6.32K;
2007-07-13;1,010.71;1,015.73;1,010.71;1,015.73;6.28K;
2007-07-16;1,005.16;1,005.16;995.83;995.83;6.17K;
2007-07-17;995.86;1,001.05;995.86;1,000.33;6.38K;
2007-07-18;998.75;998.75;994.73;994.73;4.92K;
2007-07-19;990.84;990.84;984.43;984.43;6.03K;
2007-07-20;980.35;982.17;980.35;981.31;4.97K;
2007-07-23;981.11;981.64;979.23;979.23;5.60K;
2007-07-24;982.17;983.53;982.17;982.43;7.41K;
2007-07-25;975.08;975.08;970.55;972.56;5.48K;
2007-07-26;965.92;965.92;956.13;956.13;7.61K;
2007-07-27;946.03;946.03;939.94;940.36;5.22K;
2007-07-30;928.69;928.69;925.44;925.44;3.30K;
2007-07-31;905.08;907.95;903.41;907.95;6.58K;
2007-08-01;905.34;924.18;905.34;923.14;6.79K;
2007-08-02;926.67;926.67;911.18;911.18;6.60K;
2007-08-03;895.22;895.22;892.88;892.88;5.90K;
2007-08-06;892.41;892.41;883.90;883.90;4.23K;
2007-08-07;890.75;898.26;890.75;896.91;4.16K;
2007-08-08;901.53;910.05;901.53;910.05;4.84K;
2007-08-09;923.15;938.21;923.15;938.21;8.63K;
2007-08-10;942.33;942.33;929.37;935.68;7.60K;
2007-08-13;916.00;916.00;909.15;909.15;5.33K;
2007-08-14;912.82;923.15;912.82;923.15;5.18K;
2007-08-15;918.17;918.17;914.44;915.34;3.69K;
2007-08-16;904.67;904.67;900.26;900.26;6.14K;
2007-08-17;886.92;889.51;886.92;887.93;4.38K;
2007-08-20;875.87;890.02;875.87;890.02;7.94K;
2007-08-21;897.03;897.36;895.72;895.72;7.38K;
2007-08-22;898.62;898.62;892.07;892.07;6.26K;
2007-08-23;891.50;891.50;887.62;887.62;9.03K;
2007-08-24;897.06;905.48;897.06;905.48;8.01K;
2007-08-27;911.01;911.01;908.27;909.07;8.89K;
2007-08-28;904.75;904.75;901.50;902.58;5.24K;
2007-08-29;895.54;901.17;894.67;901.17;6.64K;
