Date;Open;High;Low;Close;Volume
01/01/2013;20,820.0;20,820.0;20,820.0;20,820.0;
02/01/2013;20,840.0;20,870.0;20,822.5;20,815.0;
03/01/2013;20,842.5;20,870.0;20,820.5;20,815.0;
04/01/2013;20,840.0;20,870.0;20,819.5;20,830.0;
07/01/2013;20,840.0;20,870.0;20,822.5;20,815.0;
08/01/2013;20,842.5;20,870.0;20,823.5;20,815.0;
09/01/2013;20,842.5;20,870.0;20,827.5;20,815.0;
10/01/2013;20,842.5;20,870.0;20,821.5;20,815.0;
11/01/2013;20,842.5;20,870.0;20,821.5;20,800.0;
14/01/2013;20,842.5;20,870.5;20,821.5;20,841.0;
15/01/2013;20,845.0;20,870.5;20,821.5;20,841.0;
16/01/2013;20,842.5;20,872.5;20,820.0;20,820.0;
17/01/2013;20,840.0;20,870.0;20,821.0;20,820.0;
18/01/2013;20,845.0;20,873.0;20,821.0;20,820.0;
21/01/2013;20,845.0;20,870.5;20,823.0;20,820.0;
22/01/2013;20,845.0;20,870.0;20,822.5;20,820.0;
23/01/2013;20,847.5;20,870.0;20,821.5;20,820.0;
24/01/2013;20,845.0;20,870.0;20,821.5;20,820.0;
25/01/2013;20,845.0;20,870.0;20,821.5;20,815.0;
28/01/2013;20,847.5;20,870.0;20,819.0;20,815.0;
29/01/2013;20,840.0;20,870.0;20,823.0;20,830.0;
30/01/2013;20,847.5;20,870.0;20,821.0;20,805.0;
31/01/2013;20,847.5;20,870.0;20,820.0;20,810.0;
01/02/2013;20,842.5;20,867.5;20,820.0;20,805.0;
04/02/2013;20,840.0;20,865.0;20,815.0;20,815.0;
05/02/2013;20,835.0;20,860.0;20,807.0;20,805.0;
06/02/2013;20,837.5;20,860.0;20,807.0;20,810.0;
07/02/2013;20,827.5;20,860.0;20,795.0;20,800.0;
08/02/2013;20,820.0;20,845.0;20,812.0;20,820.0;
11/02/2013;20,820.0;20,820.0;20,820.0;20,820.0;
12/02/2013;20,820.0;20,820.0;20,820.0;20,820.0;
13/02/2013;20,820.0;20,820.0;20,820.0;20,820.0;
14/02/2013;20,820.0;20,820.0;20,820.0;20,820.0;
15/02/2013;20,845.0;20,845.0;20,845.0;20,820.0;
18/02/2013;20,842.5;20,860.0;20,812.0;20,810.0;
19/02/2013;20,850.0;20,862.5;20,812.0;20,830.0;
20/02/2013;20,820.0;20,900.0;20,812.0;20,840.0;
21/02/2013;20,905.0;20,915.0;20,855.0;20,870.0;
22/02/2013;20,920.0;20,935.0;20,855.0;20,860.0;
25/02/2013;20,910.0;20,915.0;20,830.0;20,860.0;
26/02/2013;20,900.0;20,922.5;20,860.0;20,840.0;
27/02/2013;20,910.0;20,940.0;20,860.0;20,890.0;
28/02/2013;20,940.0;20,965.0;20,860.0;20,930.0;
01/03/2013;20,940.0;20,952.5;20,860.0;20,900.0;
04/03/2013;20,935.0;20,970.0;20,837.0;20,940.0;
05/03/2013;20,962.5;21,003.0;20,860.0;20,950.0;
06/03/2013;20,975.0;20,980.0;20,860.0;20,920.0;
07/03/2013;20,950.0;20,962.5;20,860.0;20,900.0;
08/03/2013;20,930.0;20,955.0;20,860.0;20,910.0;
11/03/2013;20,937.5;20,960.0;20,860.0;20,910.0;
12/03/2013;20,947.5;20,965.0;20,860.0;20,920.0;
13/03/2013;20,945.0;20,967.5;20,860.0;20,920.0;
14/03/2013;20,950.0;20,970.0;20,860.0;20,910.0;
15/03/2013;20,945.0;20,967.5;20,860.0;20,930.0;
18/03/2013;20,950.0;20,967.5;20,860.0;20,920.0;
19/03/2013;20,950.0;20,973.5;20,860.0;20,947.0;
20/03/2013;20,950.0;20,955.0;20,860.0;20,925.0;
21/03/2013;20,950.0;20,965.0;20,860.0;20,927.0;
22/03/2013;20,942.5;20,962.5;20,860.0;20,920.0;
25/03/2013;20,945.0;20,965.0;20,860.0;20,920.0;
26/03/2013;20,945.0;20,965.0;20,860.0;20,920.0;
27/03/2013;20,945.0;20,962.5;20,860.0;20,910.0;
28/03/2013;20,942.5;20,960.0;20,860.0;20,920.0;
29/03/2013;20,942.5;20,952.5;20,860.0;20,925.0;
01/04/2013;20,940.0;20,962.5;20,860.0;20,920.0;
02/04/2013;20,940.0;20,952.5;20,860.0;20,910.0;
03/04/2013;20,935.0;20,945.0;20,860.0;20,915.0;
04/04/2013;20,940.0;20,945.0;20,860.0;20,900.0;
05/04/2013;20,937.5;20,945.0;20,860.0;20,900.0;
08/04/2013;20,935.0;20,945.0;20,860.0;20,900.0;
09/04/2013;20,935.0;20,940.0;20,860.0;20,880.0;
10/04/2013;20,905.0;20,940.0;20,855.0;20,830.0;
11/04/2013;20,940.0;20,940.0;20,845.0;20,830.0;
12/04/2013;20,855.0;20,865.0;20,845.0;20,830.0;
15/04/2013;20,855.0;20,900.0;20,825.0;20,870.0;
16/04/2013;20,905.0;20,930.0;20,840.0;20,900.0;
17/04/2013;20,920.0;20,935.0;20,855.0;20,861.0;
18/04/2013;20,905.0;20,915.0;20,860.0;20,870.0;
